h3_cell,total_crimes_in_cell,violent_crimes_in_cell,cell_violent_rate,neighbour_avg_crimes
882664c815fffff,973,359.0,0.36896197327852004,679.6666666666666
882664c817fffff,311,93.0,0.2990353697749196,454.1666666666667
882664c819fffff,540,216.0,0.4,670.3333333333334
882664c81bfffff,950,379.0,0.3989473684210526,762.3333333333334
882664c81dfffff,777,282.0,0.36293436293436293,704.8333333333334
882664c831fffff,54,39.0,0.7222222222222222,260.3333333333333
882664c833fffff,234,89.0,0.3803418803418803,67.5
882664c839fffff,914,380.0,0.41575492341356673,428.8333333333333
882664c83bfffff,338,128.0,0.378698224852071,416.5
882664c83dfffff,76,30.0,0.39473684210526316,216.5
882664c841fffff,330,104.0,0.3151515151515151,505.3333333333333
882664c843fffff,573,194.0,0.33856893542757416,480.5
882664c845fffff,325,97.0,0.29846153846153844,380.8333333333333
882664c847fffff,680,233.0,0.3426470588235294,437.3333333333333
882664c849fffff,486,189.0,0.3888888888888889,430.3333333333333
882664c84bfffff,599,178.0,0.29716193656093487,417.1666666666667
882664c84dfffff,369,135.0,0.36585365853658536,381.6666666666667
882664c851fffff,338,138.0,0.40828402366863903,481.3333333333333
882664c853fffff,42,12.0,0.2857142857142857,634.6666666666666
882664c855fffff,512,204.0,0.3984375,441.8333333333333
882664c857fffff,245,105.0,0.42857142857142855,490.3333333333333
882664c859fffff,842,322.0,0.3824228028503563,510.1666666666667
882664c85bfffff,1028,371.0,0.36089494163424124,586.1666666666666
882664c85dfffff,219,76.0,0.3470319634703196,566.1666666666666
882664c861fffff,132,34.0,0.25757575757575757,140.66666666666666
882664c865fffff,137,41.0,0.29927007299270075,67.16666666666667
882664c869fffff,187,44.0,0.23529411764705882,264.6666666666667
882664c86bfffff,370,100.0,0.2702702702702703,301.1666666666667
882664c86dfffff,150,36.0,0.24,177.0
882664c881fffff,364,152.0,0.4175824175824176,231.33333333333334
882664c883fffff,201,81.0,0.40298507462686567,149.83333333333334
882664c885fffff,1,1.0,1.0,99.16666666666667
882664c887fffff,46,23.0,0.5,95.83333333333333
882664c889fffff,575,209.0,0.3634782608695652,484.5
882664c88bfffff,380,164.0,0.43157894736842106,377.6666666666667
882664c88dfffff,185,57.0,0.3081081081081081,255.33333333333334
882664c891fffff,71,26.0,0.36619718309859156,85.66666666666667
882664c893fffff,150,60.0,0.4,194.83333333333334
882664c895fffff,39,5.0,0.1282051282051282,68.66666666666667
882664c897fffff,3,2.0,0.6666666666666666,109.66666666666667
882664c899fffff,29,8.0,0.27586206896551724,153.0
882664c89bfffff,232,94.0,0.4051724137931034,154.5
882664c89dfffff,61,15.0,0.2459016393442623,181.66666666666666
882664c8b1fffff,1,0.0,0.0,30.0
882664c8b3fffff,28,9.0,0.32142857142857145,140.0
882664c8b7fffff,76,32.0,0.42105263157894735,61.666666666666664
882664c8b9fffff,9,1.0,0.1111111111111111,59.0
882664c8bbfffff,67,14.0,0.208955223880597,49.166666666666664
882664c8c1fffff,851,294.0,0.345475910693302,759.5
882664c8c3fffff,693,261.0,0.37662337662337664,774.3333333333334
882664c8c5fffff,413,166.0,0.4019370460048426,428.6666666666667
882664c8c7fffff,590,231.0,0.39152542372881355,453.1666666666667
882664c8c9fffff,933,346.0,0.3708467309753483,898.1666666666666
882664c8cbfffff,1263,513.0,0.40617577197149646,728.3333333333334
882664c8cdfffff,665,248.0,0.37293233082706767,751.3333333333334
882664c8d1fffff,535,240.0,0.4485981308411215,450.3333333333333
882664c8d3fffff,71,29.0,0.4084507042253521,228.33333333333334
882664c8d5fffff,695,264.0,0.37985611510791367,537.5
882664c8d7fffff,370,146.0,0.3945945945945946,295.1666666666667
882664c8d9fffff,604,214.0,0.3543046357615894,409.3333333333333
882664c8dbfffff,290,102.0,0.35172413793103446,304.5
882664c8ddfffff,672,251.0,0.37351190476190477,671.5
882664c8e9fffff,17,4.0,0.23529411764705882,197.66666666666666
